strainNum	colonyDiam1	clearDiam1	diff1	colonyDiam2	clearDiam2	diff2	colonyDiam3	clearDiam3	diff3	meanDiff	meanDiam	media	cellCount	uniqueGenes	sumGenes	SD
1	6.4	NA	NA	5.97	NA	NA	7.4	NA	NA	NA	6.59	TSA	175000000	122	257	NA
4	6.35	NA	NA	8.08	NA	NA	7.02	NA	NA	NA	7.15	TSA	36666666.67	119	248	NA
5	9.8	18.13	1.85	8.2	15.32	1.868292683	9.15	19.72	2.155191257	1.95782798	9.05	TSA	17500000	136	298	0.225831222
8	7	NA	NA	5.8	NA	NA	7.24	NA	NA	NA	6.68	TSA	26666666.67	115	255	NA
9	5.49	NA	NA	5.59	NA	NA	6.31	NA	NA	NA	5.796666667	TSA	20000000	121	254	NA
13	5.57	NA	NA	5.92	NA	NA	5.81	NA	NA	NA	5.766666667	TSA	100000000	110	253	NA
14	5.18	6.21	1.198841699	5.15	NA	NA	5.58	6	1.075268817	1.137055258	5.303333333	TSA	26666666.67	140	301	0.068328741
15	5.34	7.25	1.357677903	5.05	NA	NA	5.71	6.22	1.089316988	1.223497445	5.366666667	TSA	11666666.67	127	260	0.011634715
23	4.88	NA	NA	6.88	NA	NA	4.76	NA	NA	NA	5.506666667	TSA	NA	NA	NA	NA
25	18.14	NA	NA	9.29	12.28	1.321851453	18.06	NA	NA	1.321851453	15.16333333	TSA	33333333.33	135	250	0.115934251
33	4.68	6.16	1.316239316	4.72	6.78	1.436440678	5.63	6.22	1.104795737	1.285825244	5.01	TSA	35000000	141	302	0.085152363
37	4.69	6.39	1.362473348	4.9	NA	NA	4.92	NA	NA	1.362473348	4.836666667	TSA	NA	NA	NA	0.107481866
48	8.6	NA	NA	9.14	NA	NA	8.96	NA	NA	NA	8.9	TSA	38333333.33	126	259	NA
55	20.23	25.12	1.241720217	18.87	25.25	1.338102809	21.78	24.9	1.143250689	1.241024572	20.29333333	TSA	70000000	NA	NA	0.14099461
102	9.56	NA	NA	4.69	NA	NA	7.81	NA	NA	NA	7.353333333	TSA	41666666.67	126	259	NA
1	7.31	NA	NA	5.05	NA	NA	6.78	NA	NA	NA	6.38	NFB	3000000	122	257	NA
4	7.99	NA	NA	6.3	NA	NA	6.8	NA	NA	NA	7.03	NFB	40000000	119	248	NA
5	8.92	17.27	1.936098655	7.79	14.77	1.896020539	5.71	12.68	2.220665499	2.017594898	7.473333333	NFB	50000	136	298	0.225831222
8	6.91	NA	NA	8.18	NA	NA	5.24	NA	NA	NA	6.776666667	NFB	4166666.667	115	255	NA
9	7.87	NA	NA	7.3	NA	NA	4.75	NA	NA	NA	6.64	NFB	2000000	121	254	NA
13	4.58	NA	NA	7.28	NA	NA	4.72	NA	NA	NA	5.526666667	NFB	550000000	110	253	NA
14	4.86	NA	NA	5.38	NA	NA	4.99	6.35	1.27254509	1.27254509	5.076666667	NFB	18333333.33	140	301	0.068328741
15	4.86	6.04	1.242798354	5.92	6.81	1.150337838	6.93	8.51	1.227994228	1.207043473	5.903333333	NFB	5333333.333	127	260	0.011634715
23	6.61	NA	NA	5.72	NA	NA	4.92	NA	NA	NA	5.75	NFB	NA	NA	NA	NA
25	12.31	14.09	1.144597888	10.92	12.48	1.142857143	9.32	11.91	1.277896996	1.188450675	10.85	NFB	2500000	135	250	0.115934251
33	7.55	8.35	1.105960265	5.91	6.87	1.162436548	5.84	NA	NA	1.134198407	6.433333333	NFB	83333333.33	141	302	0.085152363
37	7.39	8.41	1.138024357	5.62	6.33	1.12633452	4.92	NA	NA	1.132179438	5.976666667	NFB	NA	NA	NA	0.107481866
48	8.57	NA	NA	7.46	NA	NA	9.27	NA	NA	NA	8.433333333	NFB	1833333.333	126	259	NA
55	19.46	24.36	1.251798561	19.95	23.17	1.161403509	14.73	23.17	1.572980312	1.328727461	18.04666667	NFB	133333333.3	NA	NA	0.14099461
102	8.89	NA	NA	8.57	NA	NA	8.42	17.8	2.114014252	2.114014252	8.626666667	NFB	26666666.67	126	259	NA
5	NA	NA	NA	NA	NA	NA	10	16	1.6	1.6	10	NFB	NA	136	298	0.225831222
6	9	11	1.222222222	NA	NA	NA	NA	NA	NA	1.222222222	9	NFB	NA	NA	NA	NA
14	8	9	1.125	8	10	1.25	7	9	1.285714286	1.220238095	7.666666667	NFB	2200000	140	301	0.068328741
23	4	12	3	NA	NA	NA	NA	NA	NA	3	4	NFB	NA	NA	NA	NA
25	11	12	1.090909091	11	12	1.090909091	11	12	1.090909091	1.090909091	11	NFB	14666.66667	135	250	0.115934251
33	7	8	1.142857143	NA	NA	NA	NA	NA	NA	1.142857143	7	NFB	140000	NA	NA	0.085152363
37	8	10	1.25	7	8	1.142857143	7	8	1.142857143	1.178571429	7.333333333	NFB	6000	NA	NA	0.107481866
37	7	8	1.142857143	7	8	1.142857143	7	8	1.142857143	1.142857143	7	NFB	6000	NA	NA	0.107481866
55	7	NA	NA	20	21	1.05	18	19	1.055555556	1.052777778	15	NFB	1000000	NA	NA	0.14099461
